time,source,label,score,object_score,contact,grip,weak,slip,x,y,width,height,latency_ms
0.0,rfdetr,cup,0.21712897717952728,0.334918322031373,0.3002195646477542,0.32034484393025314,True,0.13323479050397868,1196.0320842350252,267.08027043929746,396.44328987173645,568.8739838716895,2486.520083009964
0.5,held,cup,0.07165256246924401,0.4078492727099058,0.391084644075194,0.4008081286833268,True,0.4939704371511936,1188.5057749701568,271.10178651872,392.2980299017664,570.8716282536213,88.08591598062776
1.0,rfdetr,cup,0.20991970598697662,0.4666904069348551,0.4607516566377431,0.464196131810068,False,0.0,1157.1461530332058,287.8581035163139,375.0261133602246,579.195146511671,88.4198340063449
1.5,rfdetr,bottle,0.34079867601394653,0.5049512558391914,0.5328102300632934,0.5166520250133142,False,0.0,1122.0033151998,306.3722039442157,362.0421888463134,599.786260337122,84.08162501291372
2.0,rfdetr,cup,0.4268207252025604,0.5191842916316045,0.5544278020909585,0.5339865660245332,False,0.0,1105.2867788445847,315.11765706965883,351.907557082621,626.1729721484902,85.22883299156092
2.5,rfdetr,bottle,0.18805351853370667,0.5505047378361064,0.5893582663775822,0.5668232198235261,False,0.0,1091.837648973265,327.72916082816334,340.0511162622228,640.4656208091387,87.59045801707543
3.0,held,bottle,0.0620576611161232,0.4740529871516066,0.4987732644879725,0.48443550363288035,False,0.3858825770128681,1079.8993746975873,338.12222514551735,329.102241644353,646.870888063794,81.48270798847079
3.5,rfdetr,bottle,0.36300742626190186,0.34993422313954314,0.36493964797101575,0.35623650156876163,True,0.0,1064.1698537410184,349.07733710853597,314.2443004435932,631.0415532264203,85.8184170210734
4.0,held,bottle,0.11979245066642762,0.34402523536687923,0.35509985963653,0.34867657756013254,True,0.36924512709053414,1051.722924136232,357.4668365289565,301.97336617350015,617.7736865182878,82.34533399809152
4.5,held,bottle,0.0399308168888092,0.3418270919154483,0.35214792313618426,0.3461618410281574,True,0.5097483756968447,1040.7766839260726,362.83590283101717,290.55419663457104,604.6410646591421,77.0837500167545
5.0,rfdetr,bottle,0.18306668102741241,0.2235674764534878,0.2236018572289006,0.2235819163791612,True,0.0,1026.6847063361745,361.70750946126304,274.74210215819966,583.6419317858265,88.79454102134332
5.5,held,bottle,0.0604120047390461,0.1746908021888869,0.18145088264700746,0.17753003598129752,True,0.4006422595145967,1015.9596635878214,361.20458390035867,262.5306913170377,567.1915787942091,108.63662502379157
6.0,held,bottle,0.020137334913015364,0.15839857743401992,0.1674005577863764,0.16217940918200963,True,0.5202140865048656,1008.1686561317008,361.67359690431397,254.58766572717107,555.4852685135618,85.75441598077305
6.5,held,bottle,0.006980942769845326,0.08007928081386562,0.07012223365051544,0.07589732100525853,True,0.4698777663494845,1004.056149651754,365.059787698307,255.84200810137358,552.1784374250715,95.21341699291952
7.0,held,bottle,0.0042959647814432775,0.0492795574239173,0.04315214378493258,0.04670604369554371,True,0.4968478562150674,986.9207059853088,379.16891600661137,261.0684346605507,538.3999745563616,101.34704198571853
7.5,rfdetr,cup,0.7853758335113525,0.5561998517571382,0.5254911217483802,0.5433021851534597,False,0.0,915.5230240417875,437.9569506245465,282.8452119904554,480.98971260340414,92.55433300859295
8.0,rfdetr,cup,0.8966583013534546,0.7522217320965117,0.7206266434213494,0.7389517948529435,False,0.0,833.1765842542542,500.8708389912956,296.7068525932727,429.58074886004425,92.12858299724758
8.5,rfdetr,cup,0.8239526748657227,0.8805092189411571,0.8575951436101651,0.8708853073021405,False,0.0,762.6962445721134,551.4673310638798,307.644965688429,388.52886511170334,88.41333299642429
9.0,rfdetr,cup,0.807231068611145,0.8598014395229632,0.8734148020708222,0.865519051793064,False,0.0,688.4025864026945,597.1278036060191,315.9573547754433,355.86119901577854,80.59395899181254
9.5,rfdetr,cup,0.3484060764312744,0.8038519698810414,0.8114968009401029,0.8070627989258471,False,0.0,660.9236858246702,618.433895291267,320.0552246329074,331.8397867177085,80.681708001066
10.0,rfdetr,bottle,0.3980265259742737,0.7025914864632474,0.7169801154205717,0.7086347106253236,False,0.0,649.2873516942263,617.4030930632747,307.95323271354437,315.77578593832555,82.43787501123734
10.5,rfdetr,cup,0.5588520765304565,0.621626435930362,0.651906060976186,0.6343438784496079,False,0.0,696.7891026728435,572.7911676705999,316.5926196563159,349.4170511615434,82.88954201270826
11.0,rfdetr,bottle,0.19360727071762085,0.6051452647088498,0.6445655602793479,0.621701788848459,False,0.0,764.9351133748397,541.5280540206586,302.05103883675497,393.9462769307976,84.34979198500514
11.5,rfdetr,cup,0.22602713108062744,0.5928285962501126,0.6369720624847159,0.6113688520686459,False,0.0,823.5365671380952,521.1287966675759,290.7047023111972,429.05377504643,94.7549170232378
12.0,rfdetr,bottle,0.18667089939117432,0.4947964627857764,0.541484236723063,0.5144053278394367,False,0.0,868.3610185263482,499.2839068797721,283.7394786116379,461.2142880866027,87.18070900067687
12.5,rfdetr,bottle,0.29265761375427246,0.5346631583070899,0.5830474438905578,0.5549845582521463,False,0.0,894.717677368731,481.10159458356475,279.9473597243707,480.0870421743836,90.20712500205263
13.0,held,bottle,0.0965770125389099,0.47097069275280623,0.496799663185114,0.4818188603343754,False,0.37540882066207903,913.0316574493369,466.8538285915377,276.10470878007374,493.6038317824099,76.19604098726995
13.5,rfdetr,cup,0.4097801446914673,0.4757573225022192,0.4932676688284768,0.48311166795924726,False,0.0,917.8460925661299,456.11859130456094,269.65993871428935,497.8280398763377,99.88216697820462
14.0,held,cup,0.1352274477481842,0.39542453018687673,0.3947023508104648,0.3951212148487837,True,0.3609315673843019,920.1008671788211,452.0355512761072,263.86470048638887,500.13547913096755,84.62837501429021
14.5,rfdetr,bottle,0.27528998255729675,0.36386365851933056,0.36639371545641464,0.36492628243290587,True,0.0,915.3969917628938,466.88056872939796,256.56425084043076,497.51506711587007,108.96991699701175
15.0,held,bottle,0.09084569424390793,0.2257874105295338,0.22034809371261588,0.22350289746642824,True,0.39085599229698975,911.5384780369318,477.9692967532922,251.22378215082514,495.4020494103162,81.66541697573848
15.5,held,bottle,0.030281898081302636,0.28753973980229103,0.29676149068436997,0.29141287517276415,True,0.5169519974323299,907.4885111925859,484.48717766472043,249.03428647897744,493.64210152305697,84.16345799923874
16.0,held,bottle,0.010497724668184914,0.14536731290004712,0.12431009109778607,0.13652327974309747,True,0.4156899089022139,899.7942202399154,480.6201529034036,255.96135360748585,491.94441936818237,84.10054098931141
16.5,rfdetr,remote,0.3611811101436615,0.1836800987395384,0.1809275174063853,0.18252401457961404,True,0.0,867.7346746037879,464.5075497312504,284.8241333096043,484.8707437228714,89.24125001067296
17.0,held,remote,0.1191897663474083,0.16922257351334263,0.16831791689285128,0.16884261773273623,True,0.39965937475765934,843.1830249056467,452.36454749134657,307.2171446147342,479.3831966457992,80.21979100885801
17.5,held,remote,0.03972992211580276,0.16922257351334263,0.16831791689285128,0.16884261773273623,True,0.5198864582525531,826.9064067574584,444.42326237300324,322.2265017564845,475.70729831404407,79.50970900128596
18.0,held,remote,0.013773039666811622,0.08555141216507876,0.07050650518733881,0.07923255123442798,True,0.46949349481266117,826.9672124030099,444.4132404557254,322.12960454341123,475.74216018990074,86.70162499765866
18.5,held,remote,0.00847571671803792,0.0526470228708177,0.04338861857682388,0.048758493067340286,True,0.4966113814231761,827.2205692594739,444.3714824670672,321.7258661556062,475.8874180059703,84.3229999882169
19.0,held,remote,0.003178393769264222,0.01974263357655665,0.016270731966308963,0.018284434900252618,True,0.523729268033691,828.2762228280737,444.1974908476583,320.0436228730851,476.49265890626003,84.52729199780151
19.5,rfdetr,none,0.0,0.12614186154185825,0.13629050056690759,0.13040428993237896,True,0.42,,,,,81.41966699622571
20.0,rfdetr,none,0.0,0.17306663403542952,0.17717765073697986,0.17479326105008064,True,0.42,,,,,87.33883299282752
20.5,rfdetr,cup,0.3253089189529419,0.2866721118893478,0.29924728234417614,0.29195368348037565,True,0.0,844.2499281424141,441.5647229223915,294.58862583493703,485.6509093711706,105.10262497700751
21.0,held,cup,0.10735194325447084,0.42882550633651795,0.4529487109194895,0.438957252261366,True,0.3755642491496386,857.8448940149042,437.0511899692716,280.7928239181905,493.70636819592187,95.47162498347461
