time,source,label,score,object_score,contact,grip,weak,slip,x,y,width,height,latency_ms
0.0,detector,bottle,0.7135666012763977,0.3194265532493591,0.144,0.03168,True,0.372,1189.5719231832363,267.4909621600772,392.565164929686,566.8832841077078,70.77291700261412
0.5,detector,bottle,0.8075122237205505,0.3194265532493591,0.144,0.03168,True,0.18,1168.532529051245,280.6956276018025,378.25325068358745,552.0834278922233,44.1870420036139
1.0,detector,bottle,0.2274002581834793,0.6794617298475587,0.7199849715911392,0.7045861397285785,False,0.0,1130.6870211729938,292.19366813098463,357.4785449218487,521.8615688543159,45.752874997560866
1.5,detector,cell phone,0.43542730808258057,0.7018605055830224,0.7314223278408629,0.7201888353828836,False,0.0,1083.360313662296,314.27350045141924,347.46623453765085,511.00546552254025,41.097916997387074
2.0,detector,bottle,0.654452383518219,0.7012929783964937,0.7302918403106555,0.719272272783274,False,0.0,1070.1923494554082,337.6424476498597,337.1306339784932,550.7475038862356,42.50241700356128
2.5,detector,bottle,0.5016497373580933,0.709591530654861,0.7408650411081794,0.7289811071359183,False,0.0,1058.3658262753836,357.6733303116563,325.5544476154666,571.630546539328,39.78583300340688
3.0,detector,cell phone,0.5004015564918518,0.7237872837815593,0.7607351011611446,0.7466949305569022,False,0.0,1041.6625515852827,360.8399202826904,313.4831251621003,563.8829446072259,41.73954200086882
3.5,detector,bottle,0.26145026087760925,0.6622589899525775,0.7688735873433721,0.7283600403348701,False,0.0,1032.3097602412017,371.8747187444741,299.62641988635534,560.9206584721655,42.35999999946216
4.0,held,bottle,0.040909276113790624,0.10385016490490301,0.10254715829333325,0.022560374824533314,True,0.4774528417066668,1026.504102845715,377.20972858890497,289.9912678704909,557.5426793381897,43.6315420010942
4.5,detector,bottle,0.22256521880626678,0.7009334445813978,0.8291727117158502,0.7804417902047582,False,0.0,1007.5075292963061,380.4101626949587,288.32569711084756,550.6396700896446,45.74045900517376
5.0,detector,remote,0.5156819224357605,0.7639584998773097,0.8864000231593581,0.8398722443121797,False,0.0,989.614668963609,371.8738961099039,272.98326765776056,539.4930176388995,45.25083300541155
5.5,detector,bottle,0.7391703128814697,0.7746070701374356,0.8745191324157595,0.8365525487499964,False,0.0,966.6822368457986,368.13620118823746,266.36016966144814,530.2539877797237,40.08487499959301
6.0,detector,bottle,0.6552164554595947,0.8231433110318308,0.8802713253951018,0.8585626799370588,False,0.0,967.8186040067061,355.553628325504,264.17793825229245,526.3192808677026,40.810958002111875
6.5,detector,cell phone,0.6510799527168274,0.8633517718633904,0.8965841569325713,0.8839558506062827,False,0.0,974.324727830597,362.4865072566208,260.9083734846838,522.0979583423464,45.525958004873246
7.0,detector,bottle,0.730800986289978,0.1200061196074766,0.0912,0.020064,True,0.18,939.4446475159466,410.2350575738462,253.81383636928282,506.5543349182648,47.481041998253204
7.5,held,bottle,0.11434886020772597,0.09000458970560746,0.0684,0.015047999999999999,True,0.5464,912.9231835166083,446.6669875703231,248.36358082838794,494.3671632359341,42.11633399972925
8.0,held,bottle,0.0,0.07200367176448597,0.054720000000000005,0.0120384,True,0.58,894.8494994647629,471.17503349606625,244.94243535994644,485.6496219606302,40.34720799973002
8.5,held,bottle,0.0,0.03640185628093457,0.022921599999999997,0.03074014864294205,True,0.5170783999999999,891.4468844932975,473.5837714461818,246.11826466967003,482.9764059010568,46.308417004183866
9.0,held,bottle,0.0,0.022401142326728966,0.014105599999999998,0.0189170145495028,True,0.5258944,877.2693221121917,483.62017957166324,251.01755346018496,471.8380056528342,40.416165997157805
9.5,isolated,remote,0.280145525932312,0.09749402195874811,0.055365397573283494,0.012180387466122369,True,0.65,818.1961455242508,525.4385467611692,271.43125675399716,425.4280046185735,40.354459000809584
10.0,held,remote,0.0438345352341147,0.11505151581157795,0.07340778001124063,0.016149711602472937,True,0.46317301213358253,778.3458413338947,549.0329412893564,284.3500672379535,389.68443860134255,42.340624997450504
10.5,isolated,bottle,0.2519049346446991,0.14381439476447244,0.09175972501405079,0.020187139503091173,True,0.65,773.9288767154766,528.2605384733068,280.4678149955627,366.85806416329797,41.029874999367166
11.0,held,bottle,0.03941571330322939,0.12508585968596328,0.09567963335206771,0.021049519337454897,True,0.4897880878102143,781.4454596202306,512.3118227224827,277.2240280955905,359.7766179606731,39.983499998925254
11.5,detector,banana,0.30789175629615784,0.5298301485145275,0.7141992640640842,0.6441390001552527,False,0.0,832.8533020911722,500.04886682100835,274.0540606336976,400.6933499477845,38.75429199979408
12.0,detector,cell phone,0.18174923956394196,0.5298301485145275,0.7141992640640842,0.6441390001552527,False,0.0,876.1868303990797,484.39949783790274,269.2988974042505,438.11313907748183,39.71991699654609
12.5,detector,remote,0.6041326522827148,0.548943761543357,0.6974887435497918,0.6410416503873466,False,0.0,905.4036311252831,469.4459339528262,263.6874149238377,459.1340410801672,38.387208005588036
13.0,held,remote,0.09452899147482478,0.13361186388298754,0.10922389713653892,0.024029257370038564,True,0.47077610286346105,925.4384378866064,455.33471906506963,259.37474935625676,468.99480217491714,38.542833004612476
13.5,detector,bottle,0.32844531536102295,0.7273432840594322,0.752892727166282,0.743183938785679,False,0.0,929.3986611914495,434.9075886859636,256.66011863864753,447.90024226989055,39.13658300007228
14.0,detector,bottle,0.4459921717643738,0.771496035601877,0.7525274467399625,0.7597355105074901,False,0.0,931.8042985545376,436.37693859080355,250.17102221124975,458.74533579457375,38.9120420004474
14.5,detector,bottle,0.640959620475769,0.8092617110761795,0.7763600778836686,0.7888626984968228,False,0.0,918.8196157932728,466.2344831427238,248.1268367124393,464.39443101419573,38.848958000016864
15.0,detector,bottle,0.7775936722755432,0.8625243520527018,0.7928546404714228,0.8193291308723089,False,0.0,911.446672790681,475.68154529213473,254.538360638189,463.4319745624211,40.68633399583632
15.5,detector,bottle,0.7750014662742615,0.8466697547432279,0.7412745068931201,0.7813247010761611,False,0.0,897.9682076866604,472.57704426729157,271.96362169200984,466.4690031732524,41.27541700290749
16.0,detector,bottle,0.6686796545982361,0.7966895597417164,0.758683467202711,0.773125782367533,False,0.0,877.9718465456071,450.4638228114418,292.9952730771334,480.37627955632314,43.13475000526523
16.5,detector,bottle,0.3250046670436859,0.7210566190141998,0.7855138531577802,0.7610201041832197,False,0.0,851.6893642801263,438.28495848973716,310.8886816000944,477.3240089402509,39.327499995124526
17.0,detector,bottle,0.26476311683654785,0.6805348692091557,0.7970502688110747,0.7527744169623455,False,0.0,865.2385595684884,442.34788405587267,313.54957953182105,478.176420865893,39.733833000354934
17.5,detector,bottle,0.2072715163230896,0.6140827331004137,0.8298885459463762,0.7478823370649105,False,0.0,874.5042061655627,448.08330580803926,303.2226489517403,473.6929630388282,42.31866700138198
18.0,detector,bottle,0.5661952495574951,0.605499904131865,0.899636716023758,0.7878647275048387,False,0.0,886.494303055782,483.93968095551486,282.99341446621924,445.30675966617235,41.03854200366186
18.5,detector,bottle,0.2597810626029968,0.669330258751082,0.8958287004462923,0.8097592926021123,False,0.0,884.344991057323,462.25451001335273,278.18033904425965,454.9534117887336,41.63087499910034
19.0,detector,remote,0.3408086895942688,0.711589425270817,0.8824400401639398,0.817516806504553,False,0.0,901.5016024058224,449.3333501475714,264.87630269127953,466.80953791542225,40.57795900007477
19.5,detector,bottle,0.678067147731781,0.6339811219577735,0.8740288121234047,0.7828106898604649,False,0.0,910.2717517594526,443.97907494236256,252.7766086032708,479.1776072938524,41.59204100142233
